Q3624078	sovereign state
Q1268865	light rail
Q18127	record label
Q2608849	imprint
Q35769	WWE programs
Q34763	peninsula
Q1210300	mkhare
Q752783	human spaceflight
Q34442	road
Q3249005	Provincial city
Q1115575	civil parish
Q46622	controlled-access highway
Q14637321	fictional spacecraft
Q15720870	fictional weapon
Q3895768	fictional location
Q57820681	fictional megastructure
Q14350	radio station
Q169930	extended play
Q2221906	geographic location
Q5503	rapid transit
Q4925355	province of South Korea
Q2177636	municipality of Denmark
Q21869758	delegated commune
Q188509	suburb
Q13406463	Wikimedia list article
Q180673	ceremonial county of England
Q769603	non-metropolitan county
Q7925010	vice-county
Q622425	nightclub
Q222910	compilation album
Q2824648	province of Vietnam
Q76514543	municipality of Georgia
Q719592	local council of Malta
Q3257686	locality
Q1131296	freguesia
Q3305213	painting
Q3146899	diocese of the Catholic Church
Q24279	parish of Andorra
Q475061	amphoe
Q3464665	television series season
Q229390	3D film
Q25110269	Live-action animated film
Q15974311	unincorporated area in Germany
Q15304003	country of the Kingdom of the Netherlands
Q6784672	municipality of Slovakia
Q1402592	island group
Q751708	village in the United States
Q48242	district of Libya
Q62326	region of Denmark
Q1620908	historical region
Q22687	bank
Q2755753	area of London
Q1061151	massif
Q75520	plateau
Q650241	financial institution
Q11774097	county of Texas
Q13415365	county of Utah
Q18524218	canton of France
Q215655	department of Colombia
Q1228650	Regions of ancient Greece
Q41067667	municipality of Tunisia
Q1254933	astronomical observatory
Q17412622	automobile marque
Q498162	census-designated place
Q22806	national library
Q1572070	youth organization
Q2154459	New England town
Q786820	automobile manufacturer
Q3700011	kecamatan
Q11448906	science award
Q131647	medal
Q417175	kingdom
Q3241965	tributary state
Q1371288	vassal state
Q2537537	district of Nepal
Q674950	residential area
Q12178655	county of North Dakota
Q17544377	history of a country or state
Q16913666	Academy Awards ceremony
Q748149	prefecture-level city
Q20650540	anime film
Q29168811	animated feature film
Q855747	Egyptian temple
Q431289	brand
Q15081030	motorcycle manufacturer
Q792929	department of Benin
Q56242250	anglican or episcopal cathedral
Q334453	division
Q39614	cemetery
Q1065118	district of China
Q2643128	district of Kazakhstan
Q47461344	written work
Q204910	governorate of Egypt
Q1062710	municipality of Bolivia
Q15229207	sports award
Q18536594	Olympic sporting event
Q875538	public university
Q4792966	Armed Forces
Q2659904	government organization
Q847017	sports club
Q46970	airline
Q27787439	film festival edition
Q623109	sports league
Q2992826	athletic conference
Q640364	municipiu of Romania
Q6936225	municipal corporation in India
Q15494038	Esperanto organization
Q79913	non-governmental organization
Q41298	magazine
Q28328984	village in Armenia
Q3184121	municipality of Brazil
Q14762300	single-tier municipality
Q34770	language
Q1288568	modern language
Q45762	dead language
Q486972	human settlement
Q561431	Bundesstraße
Q1749269	city designated by government ordinance
Q558116	firth
Q5852411	state of Australia
Q1351282	crown colony of the British Empire
Q47053	estuary
Q16887380	group
Q15081032	historical motorcycle manufacturer
Q167270	trademark
Q39911	decade
Q25906438	attempted coup d'état
Q71144301	None
Q207599	MTV Europe Music Award
Q34038	waterfall
Q223832	dominion of the British Empire
Q178561	battle
Q502074	heliport
Q27951399	Institute of Science and Technology
Q2367225	university and college sports club
Q1401485	public holidays in France
Q60075825	Christian holy day
Q2398229	Public holidays in Norway
Q1401522	public holidays in Sweden
Q671354	Public holidays in Switzerland
Q876608	Public holidays in Austria
Q2580825	Public holidays in Greece
Q1401550	public holiday in the Czech Republic
Q649352	public holidays in Germany
Q50427	district of Brunei
Q20643955	human biblical figure
Q2072238	archdiocese
Q1161185	high island
Q57362	autonomous region of the People's Republic of China
Q263639	municipality of Puerto Rico
Q262882	statutory city of Austria
Q667509	municipality of Austria
Q1872284	municipality of Guatemala
Q29045252	city of South Korea
Q220505	film festival
Q28922885	procedural programming language
Q899523	object-based language
Q12772052	multi-paradigm programming language
Q21562092	imperative programming language
Q1993334	interpreted language
Q9143	programming language
Q1070990	county-level city
Q1044880	subprefecture-level city
Q5393308	Buddhist temple
Q2736554	Candi of Indonesia
Q9259	UNESCO World Heritage Site
Q12134916	center of oblast
Q16979650	sibling group
Q56242225	orthodox cathedral
Q33506	museum
Q163740	nonprofit organization
Q1349648	municipality of Greece
Q15125752	rural district of Iran
Q48336	province of Turkey
Q17271186	Canadian football club
Q392928	geological period
Q403523	system
Q6156156	geochronological unit
Q44753	province of Argentina
Q50337	prefecture of Japan
Q13580678	multi-sport club
Q167346	botanical garden
Q31855	research institute
Q204894	marginal sea
Q47566	United States presidential election
Q178342	archangel
Q690175	angel in Judaism
Q10822464	angel in Christianity
Q4306757	Mukarrabun
Q4632675	dwelling place
Q1137833	core city of Japan
Q17221353	capital of prefecture
Q12131640	city of district significance
Q152732	district of Bangladesh
Q124734	rebellion
Q162875	mausoleum
Q55491	underground railway station
Q23413	castle
Q16560	palace
Q1412403	commuter rail
Q15149663	state of Mexico
Q15977968	intendency of the First Mexican Empire
Q16465919	community website
Q193955	hardback
Q13393265	basketball team
Q19464263	rap group
Q215048	supergroup
Q6936404	municipality
Q48091	region of England
Q6955655	NUTS 1 statistical regions of England
Q15630895	district of the German Democratic Republic
Q1154710	association football stadium
Q15303456	rugby union stadium
Q2590631	municipality of Hungary
Q19917774	article of constitution
Q2989398	municipality of Algeria
Q389459	Mars rover
Q11012	robot
Q18663579	former municipality of Norway
Q17566318	human rights award
Q189004	college
Q1377182	liberal arts college
Q21540699	design school
Q20971972	Original Public Ivy
Q23002039	public educational institution of the United States
Q1266818	independent city
Q15704878	television programming
Q2001305	television channel
Q2023214	political party in Germany
Q15634846	district of Seoul
Q17143371	county of South Korea
Q15901936	district of South Korea
Q18545121	district of Busan
Q18545295	district of Incheon
Q5354754	talent agency
Q1339195	station building
Q2738074	political movement
Q49773	social movement
Q15221370	third-class city
Q16970	church building
Q120560	minor basilica
Q17524420	aspect of history
Q1406161	artistic theme
Q22704077	biblical episode
Q3012407	life of Jesus in the New Testament
Q41710	ethnic group
Q33125444	character from Star Wars
Q14623646	fictional organization
Q8770760	astromech droid
Q22074477	fictional cyborg
Q27921916	anthropomorphic character
Q55740544	CGI character
Q20438089	Toydarian
Q37901	strait
Q15646667	administrative territorial entity of more than one country
Q1200957	tourist destination
Q1067867	Sestiere of Venice
Q19464251	hip hop collective
Q747381	light novel
Q63952888	anime television series
Q13410485	county of Massachusetts
Q15925165	specialized agency of the United Nations
Q1365560	university of applied sciences
Q346549	Technische Hochschule
Q13414354	county of Connecticut
Q1335652	airport railway station
Q22808404	station located on surface
Q13414753	county of New Hampshire
Q55116	quarter of Monaco
Q23901112	reserved sector
Q190967	Crusader states
Q7755	constitution
Q14073567	sibling duo
Q13414757	county of New York
Q50331459	S-Bahn line
Q146924	Roman limes
Q57346	defensive wall
Q57368	district of Botswana
Q57053	county of Croatia
Q73504838	Teenage Mutant Ninja Turtles film
Q188686	military occupation
Q13217186	county of Arizona
Q2305295	weekly newspaper
Q59136	district of Cyprus
Q5797488	vampire in Marvel Universe
Q1094617	mutant
Q1114461	comics character
Q15416	television program
Q855697	subcontinent
Q6498903	supervillain
Q14831768	mutate
Q186516	national flag
Q30014735	bus-based transport system
Q11774062	county of Arkansas
Q20724701	city or town in Armenia
Q17343829	unincorporated community
Q19953632	former administrative territorial entity
Q165116	grand duchy
Q56557504	city of Iran
Q137773	ward of Japan
Q62447	aerodrome
Q193622	order
Q13410524	parish of Louisiana
Q685309	former municipality of Switzerland
Q18618819	national park of Australia
Q11670533	elevated station
Q21055677	NP-complete game
Q49084	short story
Q7075127	oblast of the Russian Empire
Q8142	currency
Q188784	superhero
Q581714	animated series
Q21188110	American television sitcom
Q62391930	beauty pageant edition
Q13410496	county of Michigan
Q2983893	quarter
Q1788820	defense ministry
Q191110	craton
Q5420001	exempt charity
Q38723	higher education institution
Q2747456	prince
Q6439708	Kryptonian
Q63998451	superhero film character
Q3301053	consolidated city-county
Q34843301	capital of county in Romania
Q233591	communist party
Q15060255	Scottish council area
Q202435	lieutenancy area of Scotland
Q6083725	Islands council areas of Scotland
Q188025	salt lake
Q2581649	college of the University of Oxford
Q19844914	university building
Q1785733	environmental organization
Q1194093	international non-governmental organization
Q29414133	Communities of Cyprus Republic
Q911663	bascule bridge
Q537127	road bridge
Q641226	arena
Q33861	Giro d'Italia
Q1649443	national Church
Q2325038	state church
Q15239622	disputed territory
Q630830	era
Q2464485	erathem
Q26398	public broadcasting
Q15265344	broadcaster
Q643292	NATO summit
Q3231690	automobile model
Q2324835	national railway
Q83311	Persian Empire
Q816829	periodization
Q1250464	realm
Q164950	dynasty
Q13417114	noble family
Q28667313	imperial university of the Russian Empire
Q7257	ideology
Q32090	life style
Q91028	administrative arrondissement of Belgium
Q21672098	village of Ukraine
Q925381	city with powiat rights
Q202156	province of Ireland
Q15141321	train service
Q19833170	town of Portugal
Q21561328	English unitary authority council
Q1147395	district of Turkey
Q15221310	second-class city
Q1320047	book publishing company
Q1829505	tuindorp
Q473972	protected area
Q24699794	museum building
Q14276458	deck arch bridge
Q3685476	abolished municipality in Italy
Q10931	revolution
Q15661340	ancient city
Q7275	state (polity)
Q15127838	city under state jurisdiction in Latvia
Q1151405	client state
Q13212489	county of California
Q15584664	city under municipality jurisdiction in Latvia
Q13410508	county of Mississippi
Q13410400	county of Alabama
Q15620174	province of North Korea
Q13414358	county of Montana
Q11812346	county of Illinois
Q3112873	three-masted schooner
Q204577	schooner
Q12262532	county of Minnesota
Q13414369	county of Nevada
Q11774149	county of Iowa
Q186431	conclave
Q226730	silent film
Q7216840	urban-type settlement in Ukraine
Q13414759	county of Ohio
Q19020	Academy Awards
Q13410447	county of Kentucky
Q2570643	senate
Q751876	château
Q115291	province of Cuba
Q13410403	county of Colorado
Q1254874	television network
Q210167	video game developer
Q26529	space probe
Q2133344	space mission
Q1370841	World Sprint Speed Skating Championships
Q12813115	urban area in Sweden
Q5116010	election to the Parliament of Catalonia
Q24869	feature film
Q27495502	federal district of Brazil
Q12284	canal
Q18608583	recurring sporting event
Q46190676	tennis event
Q1802801	rural municipality of Austria
Q936955	parish of Jamaica
Q1050126	State-level new areas of the People's Republic of China
Q15911903	state-level new area of the People's Republic of China
Q868893	department of the Republic of the Congo
Q2138167	Scottish region
Q12178928	county of Wisconsin
Q1130251	NHL Entry Draft
Q1497019	Mountain railway
Q210272	cultural heritage
Q1323642	transcontinental country
Q1110684	professional body
Q748019	scientific society
Q2085381	publisher
Q16466010	association football match
Q1366722	final
Q3914	school
Q2418495	independent school
Q269770	boarding school
Q625298	peace treaty
Q725377	graphic novel
Q25379	play
Q37800986	Serbian city
Q18285142	oblast of a union republic of the Soviet Union
Q61002	pseudonym
Q1498487	secret treaty
Q1412901	non-aggression pact
Q5009242	cable channel
Q2065736	cultural property
Q205985	goddess
Q22989102	Greek deity
Q1569856	lunar deity
Q721067	professional wrestling promotion
Q15141632	Thesaban Nakhon
Q2381177	Badminton at the Southeast Asian Games
Q17127659	terrorist organization
Q1410668	National Wildlife Refuge
Q247073	county of Poland
Q22074483	fictional android
Q13218690	town in Hungary
Q681277	city with county rights
Q1175522	None
Q587089	city with municipal rights
Q63209072	city in Columbia
Q1194951	national sports team
Q5633421	scientific journal
Q773668	open-access journal
Q737498	academic journal
Q5123997	city of federal subject significance of Russia
Q1756006	UCI Continental Team
Q382927	UCI Professional Continental Team
Q187768	cities and towns in Russia
Q211450	closed city
Q40357	prison
Q13414754	county of New Jersey
Q2974552	city in New Jersey
Q14752149	amateur football club
Q561068	specialty channel
Q7543008	small burgh
Q27676416	city or town
Q216712	region of New Zealand
Q11691	stock exchange
Q1185241	list of Mercury-crossing minor planets
Q39594	bay
Q8496	Grand Prix de Tennis de Lyon
Q47345468	tennis tournament edition
Q170013	corvette
Q41176	building
Q2772772	military museum
Q378445	rack railway
Q3374262	market town
Q20871353	cadastral area in the Czech Republic
Q4174776	village of Japan
Q1267632	raion of Ukraine
Q12292478	estate
Q22698	park
Q4306036	museum-reserve
Q8346700	cultural heritage site in Russia
Q18867465	uyezd of the Russian Empire
Q674541	Mittelgebirge
Q372363	geotope
Q18330720	county of the Second Polish Republic
Q54050	hill
Q1025116	province of the Solomon Islands
Q6138528	political coalition
Q45909448	federation of political parties
Q1621034	Historical territory
Q26830017	state in the Holy Roman Empire
Q51879552	Namekian
Q572995	natural region of France
Q1414991	area
Q14941854	oil company
Q15145537	light rail line
Q17149090	armed organization
Q495430	general staff
Q755017	tell
Q3505887	city council
Q42523	atoll
Q1009249	national waterways in Germany
Q845820	region of Tanzania
Q18691601	ward of Tanzania
Q1686959	underground infrastructure system
Q389959	air-raid shelter
Q91122	bunker
Q170156	confederation
Q26879763	Napoleonic client state
Q188063	fiefdom
Q4728370	all-seater stadium
Q1328578	region of Turkey
Q15642541	human-geographic territorial entity
Q26879769	state in the Confederation of the Rhine
Q154547	duchy
Q27587207	city municipality
Q20642011	guerrilla movement
Q13415369	county of Washington
Q13414763	county of Pennsylvania
Q13414361	county of Nebraska
Q55190325	musical instrument manufacturing company
Q188800	personal union
Q788046	autonomous soviet socialist republic of a union republic of the Soviet Union
Q18511725	market town
Q15310171	seaport
Q258913	kontor
Q1348385	war of succession
Q12759805	sultanate
Q821435	borough of Berlin
Q207628	musical composition
Q353027	long-distance cycling route
Q169534	division
Q176799	military unit
Q3839507	functional programming language
Q51977	field army
Q161243	dependent territory
Q6617741	WWF ecoregion
Q2616791	urban municipality of Poland
Q26132862	Olympic sports discipline event
Q4498974	ice hockey team
Q24862	short film
Q179872	county of Ireland
Q428661	U-boat
Q16884952	country house
Q26959050	botanical museum
Q4539	cooperative
Q2743	musical
Q3348196	oblast of Ukraine
Q820254	mining community
Q164142	protectorate
Q133156	colony
Q562061	market municipality
Q1049757	multi-purpose stadium
Q8072	volcano
Q706447	county of Taiwan
Q4286337	city district
Q12909644	political ideology
Q355304	watercourse
Q249556	railway company
Q12019965	ice stadium
Q2087181	historic house museum
Q2434238	heritage
Q15238777	legislative term
Q3456602	French autoroute
Q66344	central bank
Q1762059	film production company
Q1344695	province of Iran
Q3327913	Summer Paralympic Games
Q3327862	urban commune of Morocco
Q236036	republic of the Soviet Union
Q1344	opera
Q2338524	auto racing track
Q926439	street circuit
Q2472587	people
Q1785071	fort
Q589481	Olympic Stadium
Q1777138	race track
Q20202352	locality of Mexico
Q197952	corporate group
Q58863414	female beauty pageant
Q207299	administrative region of Greece
Q27554677	former capital
Q350604	armed conflict
Q57058	municipality of Croatia
Q3365965	parish of Guernsey
Q1855859	popular front
Q7210356	political organisation
Q53463	constitutional amendment
Q1289426	county of China
Q1234255	regional unit of Greece
Q15127012	town of the United States
Q1187580	non-metropolitan district
Q202866	animated film
Q50686	single-party state
Q23691	national anthem
Q47521	stream
Q17431399	national museum
Q2723958	influenza pandemic
Q184644	conservatory
Q2385804	educational institution
Q15634554	state with limited recognition
Q1396170	All England Badminton Championships
Q2912558	hypersaline lake
Q20965826	fictional rabbit/hare
Q847667	region of Senegal
Q1054813	municipality of Japan
Q1059478	town of Japan
Q4313794	populated place in Georgia
Q878077	ice cap
Q3520135	deemed university
Q56557664	şəhər
Q9019918	endorheic lake
Q8465	civil war
Q15644465	district of the canton of Zürich
Q223371	stock market index
Q645466	Coat of Arms
Q4005772	major military unit
Q1664720	institute
Q1426271	route nationale
Q40434727	team rivalries in sports
Q35127	website
Q4862338	monomictic lake
Q61744628	LGBT film award
Q153562	opera house
Q1663017	engineering school
Q847027	grande école
Q2911266	borough of New Jersey
Q876730	county of Denmark
Q8514	desert
Q160091	plain
Q12018181	geomorphological subsystem
Q744913	aviation accident
Q46169	national park
Q74359	Hobbit
Q1060829	concert hall
Q181916	herbarium
Q190	God
Q825	God in Christianity
Q3556889	municipality of El Salvador
Q368290	film distributor
Q1661706	Indonesia Open Badminton Championships
Q19833031	emirate of the United Arab Emirates
Q188604	county of Hungary
Q273789	county of Lithuania
Q15848826	city ​​palace
Q107425	landscape
Q215680	tectonic plate
Q1758856	commune of Mali
Q1985797	municipal unit of Greece
Q841753	governorate of Iraq
Q1317848	county of Northern Ireland
Q17851193	opera cycle
Q1443637	tetralogy
Q16917	hospital
Q1666019	pressure group
Q1776764	județ
Q15313730	province of Zambia
Q4176708	soundtrack album
Q492264	film score
Q150784	canyon
Q1088552	Catholic church
Q50399	province of Mongolia
Q71129815	electronica duo
Q749565	structural basin
Q766570	Category:Political parties in Russia
Q7252591	province of Libya
Q2113720	tripolis
Q1107679	animation studio
Q38911	region of the Czech Republic
Q217691	province of Finland
Q15303838	municipality seat
Q811979	architectural structure
Q7695	march
Q15238535	fictional government
Q4335750	organisation in Harry Potter series
Q5327704	special ward of Japan
Q1058387	district of Malawi
Q56572789	Christmas song
Q18544917	guyok of North Korea
Q18534049	county of North Korea
Q2175765	tram stop
Q953822	canton of Costa Rica
Q1788716	military decoration
Q18328097	courage award
Q2514025	posyolok
Q16735822	history museum
Q3664326	Pirate Party
Q160742	abbey
Q8473	military
Q20667187	silent short film
Q20638319	UCI ProTeam
Q6154783	UCI WorldTeam
Q514860	region of Armenia
Q12121341	marz
Q270496	administrative territorial entity of Pakistan
Q15334	municipality of Poland
Q756780	colonia
Q1426613	seed vault
Q13226383	facility
Q7493941	shelter
Q863404	subterranea
Q1153408	province of Chile
Q7309443	registration county
Q61729985	Little Italy
Q13417250	district of Azerbaijan
Q21457810	Scottish district
Q14292916	municipality of San Marino
Q24649	European political party
Q15911314	association
Q101352	family name
Q2442401	record company
Q21484471	Wikipedia article covering multiple topics
Q17376093	cricket team
Q842100	region of Iceland
Q209225	liberation movement
Q2067184	Bulgarian Empire
Q1145012	special city of Japan
Q730038	credit institution
Q211690	London borough
Q61297932	neighborhood in Manhattan, New York City
Q20856087	NRHP district
Q2561694	city-kingdom of Cyprus
Q15720625	fictional dog
Q1668024	service on internet
Q1371279	server software
Q341	free software
Q2462003	instant messaging client
Q20626607	protected area of Kenya
Q2706302	municipality of Bosnia and Herzegovina
Q13593966	literary trilogy
Q52371	regiment
Q202595	prefecture of Greece
Q193556	province of Sweden
Q899192	front
Q27968043	festival edition
Q41806065	district of Portugal
Q20203507	viceroyalty of the Spanish Empire
Q33093124	Mario franchise character
Q2973801	fortified line
Q2693910	district of Lebanon
Q6083496	island group of the Philippines
Q1130322	land reclamation
Q29553	sanctuary
Q2095173	jam band
Q2716508	political international
Q2630741	community
Q42603	priest
Q750215	mass murder
Q2223653	terrorist attack
Q17156793	American football team
Q1758690	municipal police
Q48204	voluntary association
Q1266029	edge city
Q4943467	Boomburb
Q691960	satellite city
Q29652773	film soundtrack
Q1127126	military alliance
Q3362987	four funnel liner
Q12859788	steamship
Q15888	hospital ship
Q852190	shipwreck
Q1357964	county town
Q82799	name
Q47488809	country for sports
Q329028	province of Angola
Q2197893	chine
Q1328899	standards organization
Q27686	hotel
Q1639634	Local Government area of Lagos State
Q3192808	commune of Madagascar
Q33881	Tour de France
Q817056	Benedictine monastery
Q236122	Renaissance architecture
Q893745	National Monument
Q4508	navy
Q2566190	department of Burkina Faso
Q15344922	oblast seat
Q15195406	city district in Russia
Q273469	FINA World Aquatics Championships
Q209939	live album
Q848963	Bram Stoker Award
Q17377208	train operating company
Q671370	general governorate of the Russian Empire
Q41386	administrative territorial entity of North Korea
Q61105129	association football venue
Q973011	campaign medal
Q618779	award
Q4167410	Wikimedia disambiguation page
Q715044	Athletics at the Summer Olympics
Q7830213	township of New Jersey
Q9089593	Interbasin transfer
Q15634531	district of Bangkok
Q17505024	space agency
Q667276	art exhibition
Q72823	Documenta
Q240601	province of Algeria
Q731841	Asclepeion
Q1644573	pilgrimage
Q250050	department of Bolivia
Q920182	main battle tank
